157 FFP linear_case well-constrained agree_well | 39.887887 0.044057 -0.231188 0.544520 1.000000 0.502896 | 0.000092 0.002033 0.045035 0.037495 0.000093 0.051069 | 39.887713 0.000087 0.000088 0.046267 0.002279 0.003331 0.099903 0.092284 0.112763 0.484167 0.057784 0.030600 0.999978 0.000087 0.000090 0.421245 0.075199 0.036144 
167 FFP linear_case well-constrained agree_well | 58.067172 0.034699 0.989979 1.380098 1.000000 0.932037 | 0.000089 0.000791 0.056074 0.052891 0.000030 0.063540 | 58.067197 0.000086 0.000088 0.037108 0.002573 0.002955 0.823030 0.190960 0.137235 1.227100 0.181549 0.128457 1.000012 0.000028 0.000031 0.753960 0.209971 0.130618 
185 FFP linear_case well-constrained agree_well | 62.634166 0.111990 0.417429 0.420001 1.000000 0.779521 | 0.000100 0.001050 0.007883 0.008887 0.000060 0.015646 | 62.634811 0.000093 0.000099 0.124369 0.002038 0.002097 0.334184 0.011887 0.011032 0.332336 0.013476 0.013206 1.000020 0.000060 0.000060 0.606907 0.021375 0.019522 
206 FFP linear_case well-constrained agree_well | 45.498424 0.465719 -0.017531 0.046069 1.000000 0.406187 | 0.000031 0.002932 0.000412 0.000328 0.000115 0.003289 | 45.498348 0.000032 0.000030 0.465433 0.003459 0.003496 0.014400 0.000534 0.000536 0.045768 0.000383 0.000370 0.999828 0.000114 0.000113 0.398376 0.003826 0.003825 
255 FFP linear_case well-constrained agree_well | 24.316288 2.167150 0.013283 0.052127 1.000000 0.318996 | 0.000035 0.002402 0.000108 0.000066 0.000046 0.000446 | 24.316357 0.000033 0.000033 2.172792 0.003756 0.003943 0.012859 0.000137 0.000138 0.052218 0.000106 0.000105 0.999916 0.000046 0.000049 0.317049 0.000723 0.000694 
260 FFP linear_case well-constrained agree_well | 40.501399 0.218981 -0.102515 0.149537 1.000000 0.055773 | 0.000266 0.011045 0.008609 0.009219 0.000080 0.004115 | 40.502155 0.000263 0.000255 0.292803 0.022798 0.019898 0.059492 0.007798 0.007673 0.102273 0.008622 0.008436 1.000012 0.000079 0.000080 0.035288 0.003566 0.003399 
316 FFP linear_case well-constrained agree_well | 26.360890 0.063911 -0.369067 0.457181 1.000000 0.258627 | 0.000162 0.003173 0.033235 0.032137 0.000066 0.026519 | 26.360971 0.000166 0.000170 0.056322 0.003478 0.003455 0.460101 0.052556 0.046337 0.544076 0.052547 0.045490 0.999957 0.000067 0.000065 0.333746 0.048763 0.040357 
335 FFP linear_case well-constrained agree_well | 55.871278 0.044913 -1.166863 1.256555 1.000000 0.683852 | 0.000334 0.001525 0.068038 0.070482 0.000064 0.061886 | 55.871944 0.000282 0.000301 0.051986 0.004894 0.006149 0.884513 0.220550 0.130464 0.973611 0.222923 0.132033 0.999998 0.000064 0.000063 0.440046 0.175084 0.089517 
337 FFP linear_case well-constrained agree_well | 12.347665 0.063351 0.762562 1.083994 1.000000 0.947182 | 0.000081 0.000431 0.011655 0.011354 0.000030 0.016428 | 12.347414 0.000080 0.000081 0.069647 0.002101 0.002084 0.602192 0.047675 0.044684 0.925797 0.046040 0.042884 0.999960 0.000030 0.000030 0.728891 0.060203 0.054276 
360 FFP linear_case well-constrained agree_well | 54.188800 0.042391 -0.568287 0.823701 1.000000 0.609564 | 0.000078 0.000643 0.020947 0.019586 0.000036 0.023448 | 54.188621 0.000077 0.000076 0.048330 0.002293 0.002295 0.352790 0.056623 0.053162 0.648667 0.049681 0.045334 1.000000 0.000035 0.000035 0.407870 0.050829 0.043540 
